Country,CountryAlpha3Code,Date,confirmed,deaths,recoveries,confirmed_inc,deaths_inc,recoveries_inc,ECR,GRTStringencyIndex,DaysSince1Cases,DaysSince100Cases,confirmed_PopPct,deaths_PopPct,recoveries_PopPct
Turkey,TUR,2020-03-29,9217,131,105.0,1815.0,23.0,35.0,0.17467722686340448,75.93,18,10,0.011047635782569535,0.00015701858386856993,0.0001258545901236629
Turkey,TUR,2020-03-30,10827,168,162.0,1610.0,37.0,57.0,0.249746005356978,75.93,19,11,0.0129774061644657,0.00020136734419786068,0.00019417565333365136
Turkey,TUR,2020-03-31,13531,214,243.0,2704.0,46.0,81.0,0.15874658192299163,75.93,20,12,0.01621846151393603,0.00025650364082346536,0.0002912634800004771
Turkey,TUR,2020-04-01,15679,277,333.0,2148.0,63.0,90.0,0.15664264302570308,75.93,21,13,0.01879308684332296,0.00033201639489766315,0.0003991388429636167
Turkey,TUR,2020-04-02,18135,356,415.0,2456.0,79.0,82.0,0.15362558588365038,75.93,22,14,0.02173688563707264,0.000426706991276419,0.0004974252847744772
Turkey,TUR,2020-04-03,20921,425,484.0,2786.0,69.0,69.0,0.14401797237225744,75.93,23,15,0.025076227428353828,0.0005094114362148261,0.0005801297297128843
Turkey,TUR,2020-04-04,23934,501,786.0,3013.0,76.0,302.0,0.1309852093256456,75.93,24,16,0.028687654857330935,0.0006005061871614774,0.0009421115032114196
Turkey,TUR,2020-04-05,27069,574,1042.0,3135.0,73.0,256.0,0.11629539325427607,75.93,25,17,0.0324453133338803,0.000688005092676024,0.0012489569800843501
Turkey,TUR,2020-04-06,30217,649,1326.0,3148.0,75.0,284.0,0.12880166793526815,75.93,26,18,0.03621855380730212,0.0007779012284786403,0.0015893636809902576
Turkey,TUR,2020-04-07,34109,725,1582.0,3892.0,76.0,256.0,0.12070128118678358,75.93,27,19,0.04088356394788589,0.0008689959794252916,0.001896209157863188
Turkey,TUR,2020-04-08,38226,812,1846.0,4117.0,87.0,264.0,0.10610579186940816,75.93,28,20,0.04581826249587751,0.0009732754969563266,0.0022126435558883976
Turkey,TUR,2020-04-09,42282,908,2142.0,4056.0,96.0,296.0,0.11226999668889825,75.93,29,21,0.050679845520083006,0.0010883425507836756,0.0025674336385227235
Turkey,TUR,2020-04-10,47029,1006,2423.0,4747.0,98.0,281.0,0.1092517382891407,75.93,30,22,0.056369671608816604,0.0012058068348990943,0.0029042444939965262
Turkey,TUR,2020-04-11,52167,1101,2965.0,5138.0,95.0,542.0,0.09180133034293703,77.78,31,23,0.06252815621886784,0.0013196752735824084,0.0035538939020634337
Turkey,TUR,2020-04-12,56956,1198,3446.0,4789.0,97.0,481.0,0.07186249034342307,77.78,32,24,0.0682683241436509,0.001435940942553792,0.004130427786344214
Turkey,TUR,2020-04-13,61049,1296,3957.0,4093.0,98.0,511.0,0.06653671640813119,75.93,33,25,0.07317425592818569,0.0015534052266692109,0.00474292012494604
Turkey,TUR,2020-04-14,65111,1403,4799.0,4062.0,107.0,842.0,0.06574925895777972,75.93,34,26,0.07804303064325539,0.0016816570470809436,0.005752154076223413
Turkey,TUR,2020-04-15,69392,1518,5674.0,4281.0,115.0,875.0,0.06918664975789723,75.93,35,27,0.08317430207486874,0.0018194977886449553,0.006800942327253937
Turkey,TUR,2020-04-16,74193,1643,7089.0,4801.0,125.0,1415.0,0.058671303222676,75.93,36,28,0.08892885338138022,0.001969324681649316,0.008496982756063299
Turkey,TUR,2020-04-17,78546,1769,8631.0,4353.0,126.0,1542.0,0.04816285998013892,75.93,37,29,0.09414642510336407,0.0021203501897977114,0.010345247308165093
Turkey,TUR,2020-04-18,82329,1890,10453.0,3783.0,121.0,1822.0,0.048306186155546715,77.78,38,30,0.09868078619324805,0.0022653826222259325,0.012529124100596653
Turkey,TUR,2020-04-19,86306,2017,11976.0,3977.0,127.0,1523.0,0.05415614209904285,77.78,39,31,0.10344767862107478,0.002417606745518363,0.014354614964961782
Turkey,TUR,2020-04-20,90980,2140,13430.0,4674.0,123.0,1454.0,0.050681468454605305,75.93,40,32,0.10905000580429383,0.0025650364082346537,0.016097401384388504
Turkey,TUR,2020-04-21,95591,2259,14918.0,4611.0,119.0,1488.0,0.03225199025012815,75.93,41,33,0.1145768202334387,0.002707671610374805,0.017880940718712414
Turkey,TUR,2020-04-22,98674,2376,16477.0,3083.0,117.0,1559.0,0.03157873401301248,75.93,42,34,0.11827215072249823,0.0028479095822268865,0.0197495817282628
Turkey,TUR,2020-04-23,101790,2491,18491.0,3116.0,115.0,2014.0,0.030670989291678996,75.93,43,35,0.12200703551131094,0.0029857503237908983,0.02216359262834906
Turkey,TUR,2020-04-24,104912,2600,21737.0,3122.0,109.0,3246.0,0.027270474302272474,75.93,44,36,0.12574911199098784,0.0031163993744907008,0.026054297385886296
Turkey,TUR,2020-04-25,107773,2706,25582.0,2861.0,106.0,3845.0,0.021870041661640638,75.93,45,37,0.12917834991807167,0.003243452579758399,0.030662972614700426
Turkey,TUR,2020-04-26,110130,2805,29140.0,2357.0,99.0,3558.0,0.01934985925724142,75.93,46,38,0.13200348581256188,0.0033621154790178524,0.03492764529717655
Turkey,TUR,2020-04-27,112261,2900,33791.0,2131.0,95.0,4651.0,0.021307488798425034,75.93,47,39,0.13455773468450022,0.0034759839177011666,0.0405024043320828
Turkey,TUR,2020-04-28,114653,2992,38809.0,2392.0,92.0,5018.0,0.02560770324370054,75.93,48,40,0.13742482210903167,0.003586256510952376,0.046517055124849854
Turkey,TUR,2020-04-29,117589,3081,44040.0,2936.0,89.0,5231.0,0.022238474687258147,75.93,49,41,0.1409439561719181,0.0036929332587714806,0.05278701094329633
Turkey,TUR,2020-04-30,120204,3174,48886.0,2615.0,93.0,4846.0,0.018202389271571695,75.93,50,42,0.14407833477356932,0.003804404467166725,0.05859549993128939
Turkey,TUR,2020-05-01,122392,3258,53808.0,2188.0,84.0,4922.0,0.016202039348977015,75.93,51,43,0.14670090470871763,0.003905088139265655,0.06449508367022909
Turkey,TUR,2020-05-02,124375,3336,58259.0,1983.0,78.0,4451.0,0.013427135678391933,75.93,52,44,0.14907775853933883,0.003998580120500376,0.06983011967632836
Turkey,TUR,2020-05-03,126045,3397,63151.0,1670.0,61.0,4892.0,0.012804950612876453,75.93,53,45,0.1510794458298771,0.0040716956442865045,0.07569374496094702
Turkey,TUR,2020-05-04,127659,3461,68166.0,1614.0,64.0,5015.0,0.014350731244957338,75.93,54,46,0.15301401067234938,0.004148407013504737,0.08170479990828197
Turkey,TUR,2020-05-05,129491,3520,73285.0,1832.0,59.0,5119.0,0.017398892587129566,75.93,55,47,0.1552098736162213,0.004219125307002795,0.08784051083059655
Turkey,TUR,2020-05-06,131744,3584,78202.0,2253.0,64.0,4917.0,0.015006376001943211,75.93,56,48,0.15791035353573188,0.004295836676221028,0.09373410149381607
Turkey,TUR,2020-05-07,133721,3641,82984.0,1977.0,57.0,4782.0,0.013819818876616319,75.93,57,49,0.16028001567548886,0.004364157739431016,0.09946587911259089
Turkey,TUR,2020-05-08,135569,3689,86396.0,1848.0,48.0,3412.0,0.01140378700145317,75.93,58,50,0.16249505646166532,0.00442169126634469,0.10355555398403793
Turkey,TUR,2020-05-09,137115,3739,89480.0,1546.0,50.0,3084.0,0.011246034350727463,75.93,59,51,0.16434811547434325,0.004481622023546435,0.10725208308824151
Turkey,TUR,2020-05-10,138657,3786,92691.0,1542.0,47.0,3211.0,0.008034213923566735,75.93,60,52,0.16619638002644505,0.004537956935316075,0.11110083631573753
